(K/u)_L,(K/u)_M,Jm_L,Jm_M,u_L/u_M(Shear contrast),volume contrast,critical strain,wavenumber
0.1,0.1,0.01,0.01,100,0.04,0.0839688,1.78
0.2,0.2,0.01,0.01,100,0.04,0.0823726,1.83
0.3,0.3,0.01,0.01,100,0.04,0.081879272,1.84
0.5,0.5,0.01,0.01,100,0.04,0.081495972,1.85
0.8,0.8,0.01,0.01,100,0.04,0.08128479,1.86
1,1,0.01,0.01,100,0.04,0.0812151,1.86
2,2,0.01,0.01,100,0.04,0.081077271,1.87
5,5,0.01,0.01,100,0.04,0.080994873,1.87
8,8,0.01,0.01,100,0.04,0.080974121,1.87
10,10,0.01,0.01,100,0.04,0.0809671,1.87
100,100,0.01,0.01,100,0.04,0.0809425,1.87
1000,1000,0.01,0.01,100,0.04,0.0809401,1.87
0.1,0.1,0.1,0.1,100,0.04,0.0757803,1.76
0.2,0.2,0.1,0.1,100,0.04,0.0743511,1.79
0.3,0.3,0.1,0.1,100,0.04,0.073907471,1.8
0.5,0.5,0.1,0.1,100,0.04,0.073562622,1.81
0.8,0.8,0.1,0.1,100,0.04,0.073372803,1.81
1,1,0.1,0.1,100,0.04,0.0733098,1.81
2,2,0.1,0.1,100,0.04,0.073185425,1.82
5,5,0.1,0.1,100,0.04,0.073110962,1.82
8,8,0.1,0.1,100,0.04,0.073092651,1.82
10,10,0.1,0.1,100,0.04,0.0730863,1.82
100,100,0.1,0.1,100,0.04,0.0730641,1.82
1000,1000,0.1,0.1,100,0.04,0.0730619,1.82
0.1,0.1,0.2,0.2,100,0.04,0.069232,1.73
0.2,0.2,0.2,0.2,100,0.04,0.0679629,1.75
0.3,0.3,0.2,0.2,100,0.04,0.067566528,1.76
0.5,0.5,0.2,0.2,100,0.04,0.06725769,1.76
0.8,0.8,0.2,0.2,100,0.04,0.067087402,1.76
1,1,0.2,0.2,100,0.04,0.0670307,1.77
2,2,0.2,0.2,100,0.04,0.066918945,1.77
5,5,0.2,0.2,100,0.04,0.066851807,1.77
8,8,0.2,0.2,100,0.04,0.066835327,1.77
10,10,0.2,0.2,100,0.04,0.0668096,1.77
100,100,0.2,0.2,100,0.04,0.0668096,1.77
1000,1000,0.2,0.2,100,0.04,0.0668076,1.77
0.1,0.1,1,1,100,0.04,0.0505482,1.57
0.2,0.2,1,1,100,0.04,0.0495638,1.57
0.3,0.3,1,1,100,0.04,0.049251709,1.57
0.5,0.5,1,1,100,0.04,0.049006958,1.58
0.8,0.8,1,1,100,0.04,0.04887085,1.58
1,1,1,1,100,0.04,0.0488258,1.58
2,2,1,1,100,0.04,0.048736572,1.58
5,5,1,1,100,0.04,0.048683472,1.58
8,8,1,1,100,0.04,0.048670044,1.58
10,10,1,1,100,0.04,0.0486655,1.58
100,100,1,1,100,0.04,0.0486496,1.58
1000,1000,1,1,100,0.04,0.048648,1.58
0.1,0.1,5,5,100,0.04,0.0419244,1.44
0.2,0.2,5,5,100,0.04,0.0406942,1.46
0.3,0.3,5,5,100,0.04,0.040315552,1.46
0.5,0.5,5,5,100,0.04,0.040022583,1.46
0.8,0.8,5,5,100,0.04,0.03986145,1.47
1,1,5,5,100,0.04,0.0398081,1.47
2,2,5,5,100,0.04,0.039702759,1.47
5,5,5,5,100,0.04,0.039640503,1.47
8,8,5,5,100,0.04,0.039624634,1.47
10,10,5,5,100,0.04,0.0396193,1.47
100,100,5,5,100,0.04,0.0396006,1.47
1000,1000,5,5,100,0.04,0.0395987,1.47
0.1,0.1,10,10,100,0.04,0.0409324,1.42
