(K/u)_L,(K/u)_M,Jm_L,Jm_M,u_L/u_M(Shear contrast),volume contrast,critical strain,wavenumber
0,0,0,0,1,0,0.234182485,0.977052339
0.075257499,0.075257499,0,0,1,0,0.229730807,0.979817949
0.119280314,0.119280314,0,0,1,0,0.228354954,0.980361994
0.174742501,0.174742501,0,0,1,0,0.227285958,0.980903091
0.225772497,0.225772497,0,0,1,0,0.226696989,0.981441271
0.25,0.25,0,0,1,0,0.226502629,0.981441271
0.325257499,0.325257499,0,0,1,0,0.226118233,0.981976565
0.424742501,0.424742501,0,0,1,0,0.225888433,0.981976565
0.475772497,0.475772497,0,0,1,0,0.225830557,0.981976565
0.5,0.5,0,0,1,0,0.225810976,0.981976565
0.75,0.75,0,0,1,0,0.225742369,0.981976565
1,1,0,0,1,0,0.225735675,0.981976565
0,0,0.2,0.2,1,0,0.211345392,0.975924281
0.075257499,0.075257499,0.2,0.2,1,0,0.207359464,0.977611624
0.119280314,0.119280314,0.2,0.2,1,0,0.206122216,0.978167793
0.174742501,0.174742501,0.2,0.2,1,0,0.20516046,0.978720881
0.225772497,0.225772497,0.2,0.2,1,0,0.204631069,0.978720881
0.25,0.25,0.2,0.2,1,0,0.204455359,0.978720881
0.325257499,0.325257499,0.2,0.2,1,0,0.204108486,0.979270922
0.424742501,0.424742501,0.2,0.2,1,0,0.203900815,0.979270922
0.475772497,0.475772497,0.2,0.2,1,0,0.203849748,0.979270922
0.5,0.5,0.2,0.2,1,0,0.203832035,0.979270922
0.75,0.75,0.2,0.2,1,0,0.203770121,0.979270922
1,1,0.2,0.2,1,0,0.203763985,0.979270922
0,0,0.260205999,0.260205999,1,0,0.19308269,0.974207927
0.075257499,0.075257499,0.260205999,0.260205999,1,0,0.189543269,0.975355435
0.119280314,0.119280314,0.260205999,0.260205999,1,0,0.188437819,0.975924281
0.174742501,0.174742501,0.260205999,0.260205999,1,0,0.187576494,0.975924281
0.225772497,0.225772497,0.260205999,0.260205999,1,0,0.187101573,0.975924281
0.25,0.25,0.260205999,0.260205999,1,0,0.186943435,0.976489903
0.325257499,0.325257499,0.260205999,0.260205999,1,0,0.18663176,0.976489903
0.424742501,0.424742501,0.260205999,0.260205999,1,0,0.186444515,0.976489903
0.475772497,0.475772497,0.260205999,0.260205999,1,0,0.186398555,0.976489903
0.5,0.5,0.260205999,0.260205999,1,0,0.186326804,0.976489903
0.75,0.75,0.260205999,0.260205999,1,0,0.186326804,0.976489903
1,1,0.260205999,0.260205999,1,0,0.186321226,0.976489903
0,0,0.4,0.4,1,0,0.140975018,0.96451964
0.075257499,0.075257499,0.4,0.4,1,0,0.138229603,0.96451964
0.119280314,0.119280314,0.4,0.4,1,0,0.137359205,0.96451964
0.174742501,0.174742501,0.4,0.4,1,0,0.136676613,0.965153497
0.225772497,0.225772497,0.4,0.4,1,0,0.136297018,0.965153497
0.25,0.25,0.4,0.4,1,0,0.136171378,0.965153497
0.325257499,0.325257499,0.4,0.4,1,0,0.135922528,0.965153497
0.424742501,0.424742501,0.4,0.4,1,0,0.135774435,0.965153497
0.475772497,0.475772497,0.4,0.4,1,0,0.135736986,0.965153497
0.5,0.5,0.4,0.4,1,0,0.135724313,0.965153497
0.75,0.75,0.4,0.4,1,0,0.135679969,0.965153497
1,1,0.4,0.4,1,0,0.135675507,0.965153497
0,0,0.539794001,0.539794001,1,0,0.116923907,0.9558909
