Jm^(L),Jm^(M),(k/u)^(L),(k/u)^(M),u^(L)/u^(M),volf,cirtical strain,cirtical wavenumber
0.1000000 ,0.1000000 ,0.0100000 ,0.0100000 ,100.0000000 ,0.0400000 ,0.0840000 ,1.7800000 
0.2000000 ,0.2000000 ,0.0100000 ,0.0100000 ,100.0000000 ,0.0400000 ,0.0824000 ,1.8300000 
0.3000000 ,0.3000000 ,0.0100000 ,0.0100000 ,100.0000000 ,0.0400000 ,0.0819000 ,1.8400000 
0.5000000 ,0.5000000 ,0.0100000 ,0.0100000 ,100.0000000 ,0.0400000 ,0.0815000 ,1.8500000 
0.8000000 ,0.8000000 ,0.0100000 ,0.0100000 ,100.0000000 ,0.0400000 ,0.0813000 ,1.8600000 
1.0000000 ,1.0000000 ,0.0100000 ,0.0100000 ,100.0000000 ,0.0400000 ,0.0812000 ,1.8600000 
2.0000000 ,2.0000000 ,0.0100000 ,0.0100000 ,100.0000000 ,0.0400000 ,0.0811000 ,1.8700000 
5.0000000 ,5.0000000 ,0.0100000 ,0.0100000 ,100.0000000 ,0.0400000 ,0.0810000 ,1.8700000 
8.0000000 ,8.0000000 ,0.0100000 ,0.0100000 ,100.0000000 ,0.0400000 ,0.0810000 ,1.8700000 
10.0000000 ,10.0000000 ,0.0100000 ,0.0100000 ,100.0000000 ,0.0400000 ,0.0810000 ,1.8700000 
100.0000000 ,100.0000000 ,0.0100000 ,0.0100000 ,100.0000000 ,0.0400000 ,0.0809000 ,1.8700000 
1000.0000000 ,1000.0000000 ,0.0100000 ,0.0100000 ,100.0000000 ,0.0400000 ,0.0809000 ,1.8700000 
0.1000000 ,0.1000000 ,0.1000000 ,0.1000000 ,100.0000000 ,0.0400000 ,0.0758000 ,1.7600000 
0.2000000 ,0.2000000 ,0.1000000 ,0.1000000 ,100.0000000 ,0.0400000 ,0.0744000 ,1.7900000 
0.3000000 ,0.3000000 ,0.1000000 ,0.1000000 ,100.0000000 ,0.0400000 ,0.0739000 ,1.8000000 
0.5000000 ,0.5000000 ,0.1000000 ,0.1000000 ,100.0000000 ,0.0400000 ,0.0736000 ,1.8100000 
0.8000000 ,0.8000000 ,0.1000000 ,0.1000000 ,100.0000000 ,0.0400000 ,0.0734000 ,1.8100000 
1.0000000 ,1.0000000 ,0.1000000 ,0.1000000 ,100.0000000 ,0.0400000 ,0.0733000 ,1.8100000 
2.0000000 ,2.0000000 ,0.1000000 ,0.1000000 ,100.0000000 ,0.0400000 ,0.0732000 ,1.8200000 
5.0000000 ,5.0000000 ,0.1000000 ,0.1000000 ,100.0000000 ,0.0400000 ,0.0731000 ,1.8200000 
8.0000000 ,8.0000000 ,0.1000000 ,0.1000000 ,100.0000000 ,0.0400000 ,0.0731000 ,1.8200000 
10.0000000 ,10.0000000 ,0.1000000 ,0.1000000 ,100.0000000 ,0.0400000 ,0.0731000 ,1.8200000 
100.0000000 ,100.0000000 ,0.1000000 ,0.1000000 ,100.0000000 ,0.0400000 ,0.0731000 ,1.8200000 
1000.0000000 ,1000.0000000 ,0.1000000 ,0.1000000 ,100.0000000 ,0.0400000 ,0.0731000 ,1.8200000 
0.1000000 ,0.1000000 ,0.2000000 ,0.2000000 ,100.0000000 ,0.0400000 ,0.0692000 ,1.7300000 
0.2000000 ,0.2000000 ,0.2000000 ,0.2000000 ,100.0000000 ,0.0400000 ,0.0680000 ,1.7500000 
0.3000000 ,0.3000000 ,0.2000000 ,0.2000000 ,100.0000000 ,0.0400000 ,0.0676000 ,1.7600000 
0.5000000 ,0.5000000 ,0.2000000 ,0.2000000 ,100.0000000 ,0.0400000 ,0.0673000 ,1.7600000 
0.8000000 ,0.8000000 ,0.2000000 ,0.2000000 ,100.0000000 ,0.0400000 ,0.0671000 ,1.7600000 
1.0000000 ,1.0000000 ,0.2000000 ,0.2000000 ,100.0000000 ,0.0400000 ,0.0670000 ,1.7700000 
2.0000000 ,2.0000000 ,0.2000000 ,0.2000000 ,100.0000000 ,0.0400000 ,0.0669000 ,1.7700000 
5.0000000 ,5.0000000 ,0.2000000 ,0.2000000 ,100.0000000 ,0.0400000 ,0.0669000 ,1.7700000 
8.0000000 ,8.0000000 ,0.2000000 ,0.2000000 ,100.0000000 ,0.0400000 ,0.0668000 ,1.7700000 
10.0000000 ,10.0000000 ,0.2000000 ,0.2000000 ,100.0000000 ,0.0400000 ,0.0668000 ,1.7700000 
100.0000000 ,100.0000000 ,0.2000000 ,0.2000000 ,100.0000000 ,0.0400000 ,0.0668000 ,1.7700000 
1000.0000000 ,1000.0000000 ,0.2000000 ,0.2000000 ,100.0000000 ,0.0400000 ,0.0668000 ,1.7700000 
0.1000000 ,0.1000000 ,1.0000000 ,1.0000000 ,100.0000000 ,0.0400000 ,0.0505000 ,1.5700000 
0.2000000 ,0.2000000 ,1.0000000 ,1.0000000 ,100.0000000 ,0.0400000 ,0.0496000 ,1.5700000 
0.3000000 ,0.3000000 ,1.0000000 ,1.0000000 ,100.0000000 ,0.0400000 ,0.0493000 ,1.5700000 
0.5000000 ,0.5000000 ,1.0000000 ,1.0000000 ,100.0000000 ,0.0400000 ,0.0490000 ,1.5800000 
0.8000000 ,0.8000000 ,1.0000000 ,1.0000000 ,100.0000000 ,0.0400000 ,0.0489000 ,1.5800000 
1.0000000 ,1.0000000 ,1.0000000 ,1.0000000 ,100.0000000 ,0.0400000 ,0.0488000 ,1.5800000 
2.0000000 ,2.0000000 ,1.0000000 ,1.0000000 ,100.0000000 ,0.0400000 ,0.0487000 ,1.5800000 
5.0000000 ,5.0000000 ,1.0000000 ,1.0000000 ,100.0000000 ,0.0400000 ,0.0487000 ,1.5800000 
8.0000000 ,8.0000000 ,1.0000000 ,1.0000000 ,100.0000000 ,0.0400000 ,0.0487000 ,1.5800000 
10.0000000 ,10.0000000 ,1.0000000 ,1.0000000 ,100.0000000 ,0.0400000 ,0.0487000 ,1.5800000 
100.0000000 ,100.0000000 ,1.0000000 ,1.0000000 ,100.0000000 ,0.0400000 ,0.0486000 ,1.5800000 
1000.0000000 ,1000.0000000 ,1.0000000 ,1.0000000 ,100.0000000 ,0.0400000 ,0.0486000 ,1.5800000 
